;s;p;o;source;support;pipeline;Danilo;FRA;Diego;Davide;Angelo;;Danilo-Fra;Danilo-Diego;;;;
420;semantic web services;uses;electronic commerce;['heuristic'];[3];yes;y;;n;;;;0;0;;;;
421;semantic web services;uses;formal models;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
422;semantic web services;skos:broader/is/hyponym-of;information integration;['luanyi'];[1];yes;y;;n;;;;0;0;;;;
753;semantic web services;extends;information technology;['heuristic'];[4.0];no;y;y;y;;;;1;1;;;;
754;semantic web services;skos:broader/is/hyponym-of;intelligibility;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
423;semantic web services;uses;knowledge acquisition;['luanyi'];[3];yes;y;y;y;;;;1;1;;;;
755;semantic web services;supports;learning objects;['heuristic'];[5.0];no;n;y;n;;;;0;1;;;;
424;semantic web services;uses;mashup;['luanyi'];[1];yes;n;y;n;;;;0;1;;;;
425;semantic web services;uses;matching algorithm;['luanyi', 'heuristic'];[2, 2];yes;y;y;y;;;;1;1;;;;
426;semantic web services;uses;mobile devices;['luanyi'];[1];yes;n;y;n;;;;0;1;;;;
427;semantic web services;uses;modelling language;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
428;semantic web services;uses;ontologies;['luanyi', 'openie'];[21, 1];yes;y;y;y;;;;1;1;;;;
756;semantic web services;based-on;ontology alignment;['heuristic'];[7.0];no;y;;y;;;;0;1;;;;
429;semantic web services;uses;ontology alignment;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
430;semantic web services;uses;ontology evolution;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
431;semantic web services;uses;ontology integration;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
432;semantic web services;uses;ontology language;['luanyi', 'heuristic'];[1, 3];yes;y;y;y;;;;1;1;;;;
433;semantic web services;uses;ontology technology;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
757;semantic web services;provides;open source software;['heuristic'];[7.0];no;n;;n;;;;0;1;;;;
434;semantic web services;requires;privacy;['openie', 'heuristic'];[1, 1];yes;y;n;y;;;;0;1;;;;
435;semantic web services;represents;programming models;['openie'];[1];yes;n;y;n;;;;0;1;;;;
758;semantic web services;based-on;reasoning algorithms;['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
436;semantic web services;supports;reasoning algorithms;['openie'];[1];yes;y;y;y;;;;1;1;;;;
437;semantic web services;uses;reference architectures;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
438;semantic web services;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
759;semantic web services;combines;robots;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
439;semantic web services;combines;semantic descriptions;['heuristic'];[23];yes;y;;y;;;;0;1;;;;
440;semantic web services;includes;semantic descriptions;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
441;semantic web services;provides;semantic descriptions;['openie'];[2];yes;y;;y;;;;0;1;;;;
442;semantic web services;uses;semantic interoperability;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
443;semantic web services;provides;semantic relationships;['heuristic'];[21];yes;y;;y;;;;0;1;;;;
444;semantic web services;uses;semantic relationships;['luanyi'];[10];yes;y;y;y;;;;1;1;;;;
445;semantic web services;uses;semantic search engines;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
760;semantic web services;proposes;semantic similarity measures;['heuristic'];[3.0];no;y;;n;;;;0;0;;;;
446;semantic web services;uses;semantic web service discovery;['heuristic'];[11];yes;y;y;y;;;;1;1;;;;
447;semantic web services;combines;semantic web technologies;['openie'];[3];yes;y;y;y;;;;1;1;;;;
448;semantic web services;skos:broader/is/hyponym-of;semantic web technologies;['luanyi'];[9];yes;y;;y;;;;0;1;;;;
449;semantic web services;uses;semantic web technologies;['luanyi'];[45];yes;y;y;y;;;;1;1;;;;
450;semantic web services;uses;semantic wikis;['luanyi'];[3];yes;y;y;y;;;;1;1;;;;
761;semantic web services;proposes;service oriented computing;['heuristic'];[6.0];no;n;;n;;;;0;1;;;;
451;semantic web services;uses;service oriented computing;['luanyi'];[3];yes;y;;y;;;;0;1;;;;
452;semantic web services;uses;services composition;['luanyi'];[2];yes;y;;n;;;;0;0;;;;
453;semantic web services;includes;services selection;['luanyi'];[2];yes;y;y;n;;;;1;0;;;;
454;semantic web services;uses;shortest paths;['luanyi'];[1];yes;y;n;y;;;;0;1;;;;
455;semantic web services;supports;software agents;['heuristic'];[16];yes;y;y;y;;;;1;1;;;;
456;semantic web services;uses;software agents;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
457;semantic web services;uses;sparql;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
762;semantic web services;extends;supply chain coordination;['heuristic'];[3.0];no;y;n;n;;;;0;0;;;;
458;semantic web services;supports;supply chain coordination;['openie'];[1];yes;y;y;n;;;;1;0;;;;
459;semantic web services;uses;system architectures;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
460;semantic web services;uses;text clustering;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
461;semantic web services;uses;tool support;['luanyi'];[1];yes;y;n;y;;;;0;1;;;;
462;semantic web services;uses;uml profiles;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
763;semantic web services;provides;user experience;['heuristic'];[3.0];no;n;y;n;;;;0;1;;;;
764;semantic web services;matches;user query;['heuristic'];[4.0];no;n;n;n;;;;1;1;;;;
463;semantic web services;uses;user query;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
464;semantic web services;uses;visual programming;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
465;semantic web services;uses;visualization;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
466;semantic web services;uses;web 2.0;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
467;semantic web services;uses;web of data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
468;semantic web services;uses;web ontology language;['luanyi', 'heuristic'];[6, 6];yes;y;y;y;;;;1;1;;;;
765;semantic web services;improves;web service description;['heuristic'];[7.0];no;y;;y;;;;0;1;;;;
469;semantic web services;uses;web service description;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
470;semantic web services;automates;web services discovery;['openie'];[2];yes;y;y;y;;;;1;1;;;;
471;semantic web services;proposes;web services discovery;['heuristic'];[18];yes;y;;y;;;;0;1;;;;
472;semantic web services;uses;web services discovery;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
473;semantic web services;uses;xml;['openie'];[1];yes;y;;y;;;;0;1;;;;
474;semantic web technologies;uses;linked data;['openie'];[1];yes;y;y;y;;;;1;1;;;;
475;semantic web technologies;includes;ontology alignment;['luanyi'];[22];yes;y;y;y;;;;1;1;;;;
476;semantic web technologies;uses;resource description framework (rdf);['openie', 'heuristic'];[4, 212];yes;y;y;y;;;;1;1;;;;
477;semantic web technologies;includes;semantic descriptions;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
478;semantic web technologies;provides;semantic descriptions;['heuristic'];[35];yes;y;y;y;;;;1;1;;;;
479;semantic web technologies;provides;semantic search engines;['heuristic'];[36];yes;y;;y;;;;0;1;;;;
480;semantic web technologies;produces;semantic web services;['openie'];[1];yes;y;y;y;;;;1;1;;;;
481;semantic web technologies;uses;web ontology language;['openie'];[3];yes;y;y;y;;;;1;1;;;;
482;sensor networks;uses;ontology alignment;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
766;sensors;proposes;linked data;['heuristic'];[3.0];no;n;;n;;;;0;1;;;;
483;service execution;skos:broader/is/hyponym-of;semantic web services;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
484;service matching;uses;semantic web services;['luanyi'];[2];yes;y;y;n;;;;1;0;;;;
485;services composition;uses;semantic descriptions;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
767;services composition;proposes;semantic web services;['heuristic'];[7.0];no;n;;n;;;;0;1;;;;
768;services selection;skos:broader/is/hyponym-of;semantic web services;['heuristic'];[3.0];no;n;;n;;;;0;1;;;;
486;services selection;uses;semantic web services;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
487;smart phones;uses;semantic search engines;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
488;social networks;uses;web ontology language;['luanyi'];[2];yes;n;y;y;;;;0;0;;;;
489;social relationships;uses;semantic search engines;['luanyi'];[1];yes;n;n;y;;;;1;0;;;;
490;software agents;uses;semantic descriptions;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
769;software agents;publishes;web ontology language;['heuristic'];[9.0];no;y;;n;;;;0;0;;;;
491;software design;uses;web ontology language;['heuristic'];[3];yes;y;y;n;;;;1;0;;;;
770;software development life cycle;based-on;semantic web services;['heuristic'];[5.0];no;y;;n;;;;0;0;;;;
492;software development life cycle;uses;semantic web services;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
493;software engineering;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
494;software maintenance;uses;ontology alignment;['luanyi'];[1];yes;y;n;y;;;;0;1;;;;
771;source codes;proposes;linked data;['heuristic'];[6.0];no;n;n;n;;;;1;1;;;;
495;sparql;represents;resource description framework (rdf);['openie'];[1];yes;n;n;y;;;;1;0;;;;
496;spatial data;uses;linked data;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
497;speech recognition;based-on;semantic search engines;['heuristic'];[12];yes;y;;y;;;;0;1;;;;
498;speech recognition;uses;semantic search engines;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
499;star schema;uses;web ontology language;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
500;supervised machine learning;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;n;;;;1;0;;;;
501;supervised machine learning;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes;y;y;n;;;;1;0;;;;
502;supply chain coordination;uses;semantic web services;['luanyi'];[2];yes;y;y;n;;;;1;0;;;;
503;telecommunications industry;uses;semantic web services;['luanyi'];[2];yes;n;y;y;;;;0;0;;;;
504;text clustering;uses;semantic search engines;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
772;text mining;supports;semantic search engines;['heuristic'];[4.0];no;y;y;y;;;;1;1;;;;
505;text mining;uses;semantic web services;['luanyi', 'heuristic'];[1, 1];yes;y;y;y;;;;1;1;;;;
506;twitter;skos:broader/is/hyponym-of;linked data;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
773;twitter;uses;linked data;['heuristic'];[4.0];no;y;n;y;;;;0;1;;;;
507;ubiquitous computing;uses;web ontology language;['heuristic'];[1];yes;n;y;n;;;;0;1;;;;
508;ubiquitous computing environment;uses;web ontology language;['heuristic'];[4];yes;n;y;n;;;;0;1;;;;
509;uml models;visualizes;web ontology language;['heuristic'];[10];yes;y;;n;;;;0;0;;;;
774;undirected graph;represents;resource description framework (rdf);['heuristic'];[5.0];no;y;y;n;;;;1;0;;;;
775;universities;produces;linked data;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
776;universities;acquires;resource description framework (rdf);['heuristic'];[4.0];no;n;y;n;;;;0;1;;;;
510;user experience;uses;semantic search engines;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
777;user interfaces;represents;linked data;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
511;user navigation;uses;semantic search engines;['luanyi'];[1];yes;n;n;n;;;;1;1;;;;
512;user query;uses;ontology alignment;['luanyi'];[2];yes;n;y;n;;;;0;1;;;;
513;user query;uses;semantic search engines;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
778;verification;supports;semantic web services;['heuristic'];[3.0];no;n;y;n;;;;0;1;;;;
514;verification;uses;web ontology language;['heuristic'];[3];yes;y;y;y;;;;1;1;;;;
515;vocabulary;proposes;linked data;['heuristic'];[17];yes;n;n;n;;;;1;1;;;;
516;vocabulary;proposes;resource description framework (rdf);['heuristic'];[10];yes;n;;n;;;;0;1;;;;
779;vocabulary;uses;semantic web services;['heuristic'];[3.0];no;n;;n;;;;0;1;;;;
517;vocabulary;uses;web ontology language;['heuristic'];[4];yes;y;;n;;;;0;0;;;;
780;web applications;produces;linked data;['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
518;web applications;uses;linked data;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
519;web applications;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
781;web applications;based-on;resource description framework (rdf);['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
782;web applications;based-on;semantic search engines;['heuristic'];[3.0];no;y;;y;;;;0;1;;;;
783;web applications;produces;semantic web services;['heuristic'];[4.0];no;y;n;y;;;;0;1;;;;
520;web applications;uses;semantic web services;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
521;web applications;uses;web ontology language;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
522;web browsing;uses;linked data;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
523;web contents;uses;linked data;['luanyi', 'heuristic'];[4, 2];yes;n;y;n;;;;0;1;;;;
524;web contents;uses;resource description framework (rdf);['heuristic', 'luanyi', 'openie'];[11, 1, 1];yes;n;y;n;;;;0;1;;;;
784;web contents;selects;semantic descriptions;['heuristic'];[3.0];no;y;;n;;;;0;0;;;;
525;web contents;uses;semantic descriptions;['luanyi'];[2];yes;y;;n;;;;0;0;;;;
785;web contents;supports;semantic search engines;['heuristic'];[9.0];no;y;;y;;;;0;1;;;;
526;web contents;uses;semantic search engines;['luanyi'];[2];yes;n;y;n;;;;0;1;;;;
527;web contents;uses;semantic web services;['luanyi'];[1];yes;n;y;n;;;;0;1;;;;
786;web contents;acquires;web ontology language;['heuristic'];[3.0];no;n;;n;;;;0;1;;;;
528;web contents;uses;web ontology language;['luanyi'];[2];yes;n;y;n;;;;0;1;;;;
529;web crawlers;skos:broader/is/hyponym-of;semantic search engines;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
787;web development;requires;semantic web services;['heuristic'];[3.0];no;y;n;n;;;;0;0;;;;
530;web engineering;uses;resource description framework (rdf);['luanyi'];[3];yes;y;y;y;;;;1;1;;;;
531;web engineering;uses;semantic web services;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
532;web of data;uses;linked data;['luanyi'];[9];yes;y;y;y;;;;1;1;;;;
533;web of data;requires;resource description framework (rdf);['heuristic'];[11];yes;n;;n;;;;0;1;;;;
534;web of data;uses;resource description framework (rdf);['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
535;web of data;uses;semantic search engines;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
788;web ontology language;guides;access control;['heuristic'];[4.0];no;n;;n;;;;0;1;;;;
536;web ontology language;provides;access control;['openie'];[1];yes;y;n;n;;;;0;0;;;;
789;web ontology language;provides;automated reasoning;['heuristic'];[7.0];no;y;y;y;;;;1;1;;;;
537;web ontology language;supports;automation;['heuristic'];[3];yes;n;y;y;;;;0;0;;;;
790;web ontology language;executes;cim;['heuristic'];[8.0];no;n;;n;;;;0;1;;;;
538;web ontology language;uses;class diagrams;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
791;web ontology language;proposes;cloud services;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
792;web ontology language;uses;collaborative designs;['heuristic'];[5.0];no;n;y;n;;;;0;1;;;;
793;web ontology language;produces;communication;['heuristic'];[4.0];no;n;;y;;;;0;0;;;;
794;web ontology language;uses;component repository;['heuristic'];[6.0];no;n;y;y;;;;0;0;;;;
539;web ontology language;skos:broader/is/hyponym-of;computer science;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
795;web ontology language;extends;context information;['heuristic'];[4.0];no;y;;y;;;;0;1;;;;
796;web ontology language;provides;context modeling;['heuristic'];[3.0];no;y;y;y;;;;1;1;;;;
797;web ontology language;supports;context reasoning;['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
540;web ontology language;provides;data integration;['openie', 'heuristic'];[1, 5];yes;n;y;y;;;;0;0;;;;
541;web ontology language;based-on;description logics;['heuristic'];[45];yes;n;;y;;;;0;0;;;;
542;web ontology language;skos:broader/is/hyponym-of;description logics;['luanyi'];[11];yes;n;;y;;;;0;0;;;;
543;web ontology language;uses;description logics;['luanyi'];[18];yes;y;y;y;;;;1;1;;;;
544;web ontology language;represents;domain knowledge;['heuristic'];[11];yes;y;y;y;;;;1;1;;;;
545;web ontology language;includes;domain-specific ontologies;['luanyi'];[2];yes;y;y;n;;;;1;0;;;;
546;web ontology language;produces;domain-specific ontologies;['openie'];[1];yes;n;y;y;;;;0;0;;;;
547;web ontology language;skos:broader/is/hyponym-of;expert systems;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
548;web ontology language;skos:broader/is/hyponym-of;extensible markup language (xml);['heuristic'];[1];yes;y;;y;;;;0;1;;;;
549;web ontology language;includes;functional dependencies;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
550;web ontology language;skos:broader/is/hyponym-of;fuzzy extension;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
551;web ontology language;uses;fuzzy extension;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
552;web ontology language;uses;fuzzy logics;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
798;web ontology language;produces;grid services;['heuristic'];[4.0];no;n;;n;;;;0;1;;;;
553;web ontology language;skos:broader/is/hyponym-of;haptics;['heuristic'];[1];yes;n;;n;;;;0;1;;;;
554;web ontology language;supports;inference;['openie', 'heuristic'];[1, 7];yes;y;y;y;;;;1;1;;;;
799;web ontology language;provides;information retrieval;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
800;web ontology language;maintains;information systems;['heuristic'];[4.0];no;n;n;y;;;;1;0;;;;
801;web ontology language;extends;internet;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
555;web ontology language;includes;knowledge bases;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
556;web ontology language;produces;knowledge bases;['heuristic'];[11];yes;n;y;y;;;;0;0;;;;
557;web ontology language;uses;knowledge engineering;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
558;web ontology language;skos:broader/is/hyponym-of;knowledge management;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
802;web ontology language;supports;knowledge management;['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
559;web ontology language;uses;knowledge representation;['luanyi', 'heuristic'];[1, 8];yes;n;y;y;;;;0;0;;;;
560;web ontology language;uses;linked data;['heuristic'];[5];yes;n;;y;;;;0;0;;;;
561;web ontology language;skos:broader/is/hyponym-of;logic programming;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
562;web ontology language;skos:broader/is/hyponym-of;mass customization;['heuristic'];[2];yes;n;;n;;;;0;1;;;;
803;web ontology language;uses;modelling language;['heuristic'];[3.0];no;y;;y;;;;0;1;;;;
804;web ontology language;provides;natural language processing systems;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
563;web ontology language;defines;ontologies;['openie', 'heuristic'];[17, 169];yes;y;y;y;;;;1;1;;;;
805;web ontology language;provides;ontology alignment;['heuristic'];[5.0];no;n;y;y;;;;0;0;;;;
564;web ontology language;includes;ontology construction;['luanyi'];[2];yes;n;n;y;;;;1;0;;;;
806;web ontology language;proposes;ontology construction;['heuristic'];[5.0];no;n;n;n;;;;1;1;;;;
565;web ontology language;includes;ontology language;['luanyi'];[2];yes;y;n;y;;;;0;1;;;;
566;web ontology language;skos:broader/is/hyponym-of;ontology language;['heuristic', 'openie', 'luanyi'];[27, 6, 41];yes;y;;y;;;;0;1;;;;
567;web ontology language;provides;ontology modeling;['openie'];[1];yes;y;y;y;;;;1;1;;;;
568;web ontology language;provides;query processing;['heuristic'];[5];yes;n;n;y;;;;1;0;;;;
569;web ontology language;provides;reasoning algorithms;['heuristic'];[46];yes;y;y;n;;;;1;0;;;;
570;web ontology language;supports;reasoning algorithms;['openie'];[1];yes;n;y;y;;;;0;0;;;;
807;web ontology language;proposes;recommendation;['heuristic'];[4.0];no;y;;n;;;;0;0;;;;
571;web ontology language;skos:broader/is/hyponym-of;recommendation;['openie'];[1];yes;y;;n;;;;0;0;;;;
808;web ontology language;matches;relational data models;['heuristic'];[4.0];no;n;n;n;;;;1;1;;;;
572;web ontology language;uses;relational data models;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
573;web ontology language;skos:broader/is/hyponym-of;relational database systems;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
574;web ontology language;uses;relational database systems;['luanyi'];[3];yes;n;y;y;;;;0;0;;;;
809;web ontology language;uses;resource discovery;['heuristic'];[3.0];no;n;n;y;;;;1;0;;;;
575;web ontology language;supports;search engines;['openie'];[2];yes;y;y;y;;;;1;1;;;;
576;web ontology language;defines;security policies;['openie'];[1];yes;y;;y;;;;0;1;;;;
577;web ontology language;skos:broader/is/hyponym-of;semantic descriptions;['luanyi'];[3];yes;n;;n;;;;0;1;;;;
810;web ontology language;provides;semantic interoperability;['heuristic'];[3.0];no;y;y;y;;;;1;1;;;;
811;web ontology language;recommends;semantic relationships;['heuristic'];[7.0];no;n;;y;;;;0;0;;;;
578;web ontology language;includes;semantic web services;['luanyi'];[1];yes;n;n;n;;;;1;1;;;;
579;web ontology language;produces;semantic web services;['heuristic'];[10];yes;y;;y;;;;0;1;;;;
580;web ontology language;produces;semantic web technologies;['openie'];[1];yes;n;y;y;;;;0;0;;;;
581;web ontology language;skos:broader/is/hyponym-of;semantic web technologies;['luanyi'];[104];yes;y;;y;;;;0;1;;;;
582;web ontology language;uses;semantic web technologies;['heuristic'];[158];yes;y;y;y;;;;1;1;;;;
583;web ontology language;supports;software agents;['heuristic'];[1];yes;y;y;y;;;;1;1;;;;
812;web ontology language;provides;tool support;['heuristic'];[4.0];no;n;;y;;;;0;0;;;;
813;web ontology language;selects;uml models;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
584;web ontology language;uses;uml models;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
814;web ontology language;includes;uml profiles;['heuristic'];[7.0];no;n;n;y;;;;1;0;;;;
585;web ontology language;uses;uml profiles;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
586;web ontology language;provides;visualization;['heuristic'];[1];yes;n;;y;;;;0;0;;;;
815;web ontology language;proposes;vocabulary;['heuristic'];[8.0];no;n;y;n;;;;0;1;;;;
587;web ontology language;provides;vocabulary;['openie'];[1];yes;y;y;y;;;;1;1;;;;
588;web ontology language;skos:broader/is/hyponym-of;vocabulary;['luanyi'];[2];yes;n;;n;;;;0;1;;;;
816;web ontology language;provides;web contents;['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
589;web ontology language;uses;web of data;['luanyi'];[1];yes;n;n;n;;;;1;1;;;;
817;web ontology language;supports;xml databases;['heuristic'];[4.0];no;n;;n;;;;0;1;;;;
590;web ontology language;uses;xslt;['luanyi'];[2];yes;n;;y;;;;0;0;;;;
591;web ontology language;skos:broader/is/hyponym-of;z;['heuristic'];[1];yes;n;;n;;;;0;1;;;;
592;web searches;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
593;web searches;uses;semantic search engines;['luanyi'];[3];yes;y;y;y;;;;1;1;;;;
594;web service composition;uses;ontology alignment;['luanyi'];[2];yes;n;y;n;;;;0;1;;;;
595;web service composition;uses;semantic web services;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
596;web service description;uses;semantic web services;['luanyi'];[6];yes;n;y;y;;;;0;0;;;;
597;web services discovery;uses;semantic descriptions;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
818;web services discovery;proposes;semantic web services;['heuristic'];[9.0];no;y;;y;;;;0;1;;;;
598;web services discovery;uses;semantic web services;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
599;web-mining;uses;semantic search engines;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
600;web-searching;uses;semantic search engines;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
819;wiki;provides;linked data;['heuristic'];[3.0];no;y;;y;;;;0;1;;;;
601;wiki;skos:broader/is/hyponym-of;linked data;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
602;wiki;provides;semantic search engines;['openie'];[1];yes;n;n;n;;;;1;1;;;;
603;wordnet;skos:broader/is/hyponym-of;web ontology language;['luanyi'];[3];yes;n;;y;;;;0;0;;;;
820;world wide web;converts-to;resource description framework (rdf);['heuristic'];[6.0];no;n;;y;;;;0;0;;;;
604;world wide web;skos:broader/is/hyponym-of;semantic search engines;['luanyi'];[1];yes;y;;n;;;;0;0;;;;
605;xacml;skos:broader/is/hyponym-of;web ontology language;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
606;xml;uses;semantic search engines;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
821;xml;includes;semantic web services;['heuristic'];[7.0];no;n;;n;;;;0;1;;;;
607;xml databases;converts-to;resource description framework (rdf);['heuristic'];[10];yes;y;;y;;;;0;1;;;;
608;xml format;uses;ontology alignment;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
