;s;p;o;source;support;pipeline;Danilo
1271;semantic search engine;provides;natural languages;['heuristic'];[3.0];no;n
2;semantic search engine;produces;ontologies;['heuristic'];[30];yes;y
273;semantic search engine;uses;ontologies;['luanyi'];[5];yes;y
966;semantic search engine;acquires;ontology technology;['heuristic'];[5.0];no;n
589;semantic search engine;combines;ontology technology;['openie'];[1];yes;y
404;semantic search engine;uses;ontology technology;['luanyi'];[1];yes;y
588;semantic search engine;uses;search engines;['luanyi'];[4];yes;y
220;semantic search engine;uses;semantic data;['luanyi'];[1];yes;y
556;semantic search engine;uses;semantic relationships;['luanyi'];[2];yes;y
504;semantic search engine;uses;semantic search engines;['luanyi'];[2];yes;y
17;semantic search engine;uses;semantic web technologies;['luanyi', 'luanyi', 'heuristic'];[3, 1, 1];yes;y
650;semantic search engine;uses;structured query language (sql);['heuristic'];[1];yes;y
478;semantic search engine;uses;user interfaces;['luanyi'];[1];yes;y
883;semantic search engine;provides;user query;['heuristic'];[6.0];no;n
1272;semantic search engine;supports;visualization;['heuristic'];[3.0];no;n
1091;semantic search engine;acquires;web contents;['heuristic'];[4.0];no;y
700;semantic search engine;includes;web information;['heuristic'];[2];yes;y
493;semantic search engine;uses;wordnet;['luanyi'];[1];yes;y
1092;semantic search engines;produces;access control;['heuristic'];[4.0];no;n
967;semantic search engines;uses;artificial intelligence;['heuristic'];[5.0];no;y
829;semantic search engines;supports;audio;['heuristic'];[7.0];no;n
129;semantic search engines;uses;automatic image annotation;['luanyi', 'heuristic'];[1, 1];yes;y
1273;semantic search engines;acquires;background knowledge;['heuristic'];[3.0];no;n
1274;semantic search engines;uses;clustering algorithms;['heuristic'];[3.0];no;y
884;semantic search engines;produces;communication;['heuristic'];[6.0];no;y
793;semantic search engines;acquires;component-based software engineering;['heuristic', 'heuristic'];[8.0, 1.0];no;n
352;semantic search engines;is;component-based software engineering;['openie'];[1];yes;n
1275;semantic search engines;proposes;concept lattices;['heuristic'];[3.0];no;n
1276;semantic search engines;causes;concept similarity;['heuristic'];[3.0];no;n
1277;semantic search engines;uses;data mining;['heuristic'];[3.0];no;y
623;semantic search engines;uses;database systems;['heuristic'];[4];yes;y
365;semantic search engines;uses;description logics;['luanyi', 'heuristic'];[1, 3];yes;y
678;semantic search engines;uses;digital images;['heuristic'];[1];yes;y
968;semantic search engines;is;digital libraries;['heuristic'];[5.0];no;n
885;semantic search engines;provides;domain knowledge;['heuristic'];[6.0];no;y
495;semantic search engines;uses;domain-specific ontologies;['luanyi'];[5];yes;y
1278;semantic search engines;learns;e-learning environment;['heuristic'];[3.0];no;n
108;semantic search engines;uses;electronic documents;['luanyi'];[1];yes;y
253;semantic search engines;uses;email;['luanyi'];[1];yes;y
454;semantic search engines;uses;engine;['heuristic'];[47];yes;y
1093;semantic search engines;base;extensible markup language (xml);['heuristic'];[4.0];no;y
746;semantic search engines;uses;fuzzy description logic;['heuristic'];[2];yes;y
332;semantic search engines;uses;graph matchings;['luanyi'];[1];yes;y
1279;semantic search engines;base;hierarchical models;['heuristic'];[3.0];no;y
494;semantic search engines;uses;hierarchical models;['luanyi'];[2];yes;y
582;semantic search engines;uses;index structure;['luanyi'];[1];yes;y
432;semantic search engines;uses;inference;['luanyi', 'heuristic'];[2, 21];yes;y
1280;semantic search engines;supports;information acquisitions;['heuristic'];[3.0];no;y
1281;semantic search engines;uses;information needs;['heuristic'];[3.0];no;n
593;semantic search engines;uses;information retrieval;['heuristic'];[34];yes;y
559;semantic search engines;provides;knowledge bases;['heuristic'];[25];yes;y
830;semantic search engines;improves;knowledge discovery;['heuristic'];[7.0];no;y
1094;semantic search engines;supports;knowledge management;['heuristic'];[4.0];no;y
530;semantic search engines;uses;knowledge representation;['luanyi'];[1];yes;y
117;semantic search engines;learns;learning;['heuristic'];[24];yes;y
886;semantic search engines;selects;libraries;['heuristic'];[6.0];no;n
758;semantic search engines;uses;linked data;['heuristic'];[11];yes;y
699;semantic search engines;uses;linked open data;['heuristic'];[8];yes;y
23;semantic search engines;uses;map-reduce;['luanyi', 'heuristic'];[1, 1];yes;y
8;semantic search engines;uses;mobile agents;['luanyi'];[1];yes;y
133;semantic search engines;uses;mobile devices;['luanyi'];[2];yes;n
486;semantic search engines;uses;mobile phones;['openie', 'luanyi', 'heuristic'];[1, 2, 2];yes;n
969;semantic search engines;provides;multimedia data;['heuristic'];[5.0];no;y
385;semantic search engines;uses;named entity recognition;['luanyi'];[1];yes;y
525;semantic search engines;is;natural language processing systems;['luanyi'];[1];yes;y
831;semantic search engines;uses;natural language processing systems;['heuristic'];[7.0];no;y
171;semantic search engines;requires;ontologies;['openie'];[3];yes;y
285;semantic search engines;uses;ontologies;['heuristic', 'luanyi'];[209, 16];yes;y
362;semantic search engines;uses;parallelism;['luanyi'];[1];yes;y
405;semantic search engines;uses;pervasive computing;['luanyi'];[1];yes;y
1282;semantic search engines;improves;process mining;['heuristic'];[3.0];no;y
1283;semantic search engines;produces;purchase;['heuristic'];[3.0];no;n
12;semantic search engines;uses;rdf data;['luanyi'];[1];yes;y
511;semantic search engines;executes;reasoning algorithms;['heuristic'];[23];yes;y
24;semantic search engines;uses;recommendation;['openie'];[1];yes;n
126;semantic search engines;uses;resource description framework (rdf);['luanyi', 'openie', 'heuristic'];[1, 1, 5];yes;y
50;semantic search engines;combines;search engines;['heuristic'];[57];yes;y
461;semantic search engines;requires;search engines;['openie'];[4];yes;y
592;semantic search engines;uses;search engines;['luanyi'];[11];yes;y
970;semantic search engines;requires;semantic metadata;['heuristic'];[5.0];no;y
740;semantic search engines;uses;semantic relationships;['heuristic'];[8];yes;y
278;semantic search engines;uses;semantic search engine;['luanyi'];[2];yes;y
767;semantic search engines;uses;semantic similarity measures;['heuristic'];[13];yes;y
887;semantic search engines;uses;semantic web services;['heuristic'];[6.0];no;y
971;semantic search engines;base;semantic web technologies;['heuristic'];[5.0];no;y
480;semantic search engines;is;semantic web technologies;['luanyi', 'luanyi'];[2, 1];yes;y
63;semantic search engines;provides;semantic web technologies;['heuristic'];[68];yes;y
372;semantic search engines;uses;semantic web technologies;['luanyi', 'luanyi'];[3, 6];yes;y
612;semantic search engines;uses;social networks;['luanyi'];[2];yes;n
348;semantic search engines;uses;sparql;['luanyi', 'heuristic'];[2, 17];yes;y
760;semantic search engines;uses;sparql inferencing notation (spin);['heuristic'];[1];yes;y
302;semantic search engines;uses;spatial data infrastructure;['luanyi'];[1];yes;y
1284;semantic search engines;selects;stream data;['heuristic'];[3.0];no;n
213;semantic search engines;uses;text mining;['luanyi'];[1];yes;y
1095;semantic search engines;extends;user profiling;['heuristic'];[4.0];no;n
398;semantic search engines;uses;user query;['luanyi', 'heuristic'];[1, 19];yes;y
523;semantic search engines;requires;verification;['openie'];[1];yes;n
636;semantic search engines;uses;vocabulary;['heuristic'];[6];yes;y
888;semantic search engines;classifies;web contents;['heuristic'];[6.0];no;y
1096;semantic search engines;includes;web information;['heuristic'];[4.0];no;y
520;semantic search engines;uses;web of data;['luanyi'];[1];yes;y
167;semantic search engines;uses;web ontology language;['luanyi', 'heuristic'];[2, 4];yes;y
180;semantic search engines;improves;web searches;['openie'];[1];yes;y
794;semantic search engines;produces;web-searching;['heuristic'];[8.0];no;y
972;semantic similarity measures;proposes;linked data;['heuristic'];[5.0];no;n
973;semantic similarity measures;is;ontology alignment;['heuristic'];[5.0];no;n
179;semantic similarity measures;uses;ontology alignment;['luanyi'];[1];yes;n
1097;semantic similarity measures;extends;semantic description;['heuristic'];[4.0];no;n
974;semantic similarity measures;is;semantic web services;['heuristic'];[5.0];no;n
1098;semantic web rule languages;defines;web ontology language;['heuristic'];[4.0];no;y
516;semantic web rule languages;extends;web ontology language;['openie'];[1];yes;y
538;semantic web rule languages;is;web ontology language;['luanyi'];[1];yes;y
319;semantic web rule languages;produces;web ontology language;['heuristic'];[62];yes;y
889;semantic web service discovery;base;ontology alignment;['heuristic'];[6.0];no;y
309;semantic web service discovery;uses;ontology alignment;['luanyi'];[2];yes;n
795;semantic web service discovery;base;semantic web services;['heuristic'];[8.0];no;y
1099;semantic web services;base;access control;['heuristic'];[4.0];no;n
467;semantic web services;uses;access control;['luanyi'];[3];yes;y
320;semantic web services;uses;agent technology;['luanyi', 'heuristic'];[2, 11];yes;y
625;semantic web services;uses;answering queries;['heuristic'];[1];yes;y
280;semantic web services;requires;authentication;['openie', 'heuristic'];[1, 1];yes;y
463;semantic web services;supports;automated reasoning;['openie', 'heuristic'];[2, 6];yes;y
440;semantic web services;produces;automatic composition;['openie'];[1];yes;y
298;semantic web services;uses;automatic composition;['luanyi'];[1];yes;y
38;semantic web services;supports;automation;['heuristic', 'openie'];[54, 6];yes;n
568;semantic web services;uses;bayesian classification;['luanyi'];[1];yes;y
97;semantic web services;uses;business logic;['luanyi', 'heuristic'];[1, 8];yes;y
124;semantic web services;uses;business process execution language;['luanyi'];[4];yes;y
1285;semantic web services;produces;business process modelling;['heuristic'];[3.0];no;n
353;semantic web services;uses;collaborative filtering algorithms;['luanyi', 'heuristic'];[1, 1];yes;y
295;semantic web services;uses;collaborative tagging;['luanyi'];[1];yes;y
572;semantic web services;provides;communication;['heuristic'];[41];yes;n
578;semantic web services;includes;component-based software engineering;['luanyi'];[1];yes;n
194;semantic web services;is;component-based software engineering;['openie'];[1];yes;n
53;semantic web services;produces;component-based software engineering;['heuristic'];[27];yes;n
1286;semantic web services;represents;computer science;['heuristic'];[3.0];no;n
832;semantic web services;extends;context information;['heuristic'];[7.0];no;y
1100;semantic web services;combines;cycle;['heuristic'];[4.0];no;n
1287;semantic web services;automates;data integration;['heuristic'];[3.0];no;y
424;semantic web services;uses;database management;['luanyi'];[1];yes;y
602;semantic web services;uses;description logics;['luanyi'];[6];yes;y
26;semantic web services;uses;distributed applications;['luanyi'];[1];yes;y
515;semantic web services;uses;distributed architectures;['luanyi'];[1];yes;y
165;semantic web services;uses;distributed systems;['luanyi'];[1];yes;y
833;semantic web services;requires;domain-specific ontologies;['heuristic'];[7.0];no;y
1288;semantic web services;matches;efficient algorithm;['heuristic'];[3.0];no;n
742;semantic web services;uses;explicit knowledge;['heuristic'];[2];yes;y
426;semantic web services;uses;extensible markup language (xml);['openie'];[1];yes;y
1101;semantic web services;includes;finite state machines;['heuristic'];[4.0];no;y
543;semantic web services;uses;formal models;['luanyi'];[2];yes;y
1102;semantic web services;supports;grid services;['heuristic'];[4.0];no;n
1103;semantic web services;proposes;inference;['heuristic'];[4.0];no;n
11;semantic web services;is;information integration;['luanyi'];[1];yes;n
975;semantic web services;queries;information retrieval;['heuristic'];[5.0];no;n
796;semantic web services;supports;information systems;['heuristic'];[8.0];no;y
1104;semantic web services;extends;information technology;['heuristic'];[4.0];no;y
723;semantic web services;uses;information theory;['heuristic'];[1];yes;y
1289;semantic web services;is;intelligibility;['heuristic'];[3.0];no;n
279;semantic web services;uses;knowledge acquisition;['luanyi'];[3];yes;y
109;semantic web services;uses;learning;['heuristic'];[24];yes;n
976;semantic web services;supports;learning objects;['heuristic'];[5.0];no;n
768;semantic web services;uses;linear logic;['heuristic'];[3];yes;n
1105;semantic web services;links;linked open data;['heuristic'];[4.0];no;y
977;semantic web services;proposes;logistics;['heuristic'];[5.0];no;n
737;semantic web services;uses;machine learning techniques;['heuristic'];[2];yes;y
242;semantic web services;uses;mashup;['luanyi'];[1];yes;n
200;semantic web services;uses;matching algorithm;['luanyi'];[2];yes;y
415;semantic web services;uses;mobile devices;['luanyi', 'heuristic'];[1, 1];yes;n
128;semantic web services;uses;modeling languages;['luanyi'];[2];yes;y
116;semantic web services;uses;ontologies;['luanyi', 'openie', 'heuristic'];[21, 1, 251];yes;y
378;semantic web services;uses;ontology alignment;['luanyi'];[2];yes;y
233;semantic web services;uses;ontology evolution;['luanyi'];[1];yes;y
834;semantic web services;provides;ontology integration;['heuristic'];[7.0];no;y
522;semantic web services;uses;ontology integration;['luanyi'];[1];yes;y
110;semantic web services;uses;ontology language;['luanyi', 'heuristic'];[1, 7];yes;y
105;semantic web services;uses;ontology technology;['luanyi', 'heuristic'];[2, 3];yes;y
978;semantic web services;produces;optimization;['heuristic'];[5.0];no;n
1106;semantic web services;base;planning algorithms;['heuristic'];[4.0];no;y
98;semantic web services;requires;privacy;['openie', 'heuristic'];[1, 1];yes;y
1290;semantic web services;supports;process discovery;['heuristic'];[3.0];no;y
360;semantic web services;represents;programming models;['openie'];[1];yes;n
835;semantic web services;uses;radio frequency identification technology;['heuristic'];[7.0];no;n
265;semantic web services;supports;reasoning algorithms;['heuristic', 'openie'];[28, 1];yes;y
20;semantic web services;uses;reference architectures;['luanyi'];[1];yes;y
284;semantic web services;uses;resource description framework (rdf);['luanyi'];[1];yes;y
1107;semantic web services;combines;robots;['heuristic'];[4.0];no;n
80;semantic web services;includes;semantic description;['luanyi'];[2];yes;y
610;semantic web services;produces;semantic description;['heuristic'];[39];yes;y
81;semantic web services;provides;semantic description;['openie'];[2];yes;y
836;semantic web services;matches;semantic distance;['heuristic'];[7.0];no;n
101;semantic web services;uses;semantic interoperability;['luanyi'];[2];yes;y
797;semantic web services;improves;semantic relationships;['heuristic'];[8.0];no;y
67;semantic web services;uses;semantic relationships;['luanyi', 'luanyi'];[6, 4];yes;y
389;semantic web services;uses;semantic search engines;['luanyi'];[1];yes;y
890;semantic web services;base;semantic similarity measures;['heuristic'];[6.0];no;y
733;semantic web services;uses;semantic web service discovery;['heuristic'];[11];yes;y
300;semantic web services;combines;semantic web technologies;['heuristic', 'openie'];[32, 1];yes;y
331;semantic web services;is;semantic web technologies;['luanyi', 'luanyi'];[3, 2];yes;y
31;semantic web services;uses;semantic web technologies;['heuristic', 'luanyi', 'luanyi', 'openie', 'heuristic'];[413, 3, 19, 1, 1];yes;y
297;semantic web services;uses;semantic wikis;['luanyi'];[3];yes;y
1291;semantic web services;produces;service architecture;['heuristic'];[3.0];no;y
798;semantic web services;supports;service compositions;['heuristic'];[8.0];no;y
214;semantic web services;uses;service compositions;['luanyi', 'heuristic'];[2, 2];yes;y
732;semantic web services;uses;service management;['heuristic'];[5];yes;y
837;semantic web services;proposes;service ontology;['heuristic'];[7.0];no;y
891;semantic web services;proposes;service-oriented computing;['heuristic'];[6.0];no;y
614;semantic web services;uses;service-oriented computing;['luanyi'];[3];yes;y
205;semantic web services;includes;services selection;['luanyi'];[1];yes;y
799;semantic web services;supports;services selection;['heuristic'];[8.0];no;n
82;semantic web services;uses;shortest paths;['luanyi'];[1];yes;y
1108;semantic web services;extends;social networks;['heuristic'];[4.0];no;n
892;semantic web services;uses;soft computing;['heuristic'];[6.0];no;y
554;semantic web services;supports;software agents;['heuristic'];[24];yes;y
286;semantic web services;uses;software agents;['luanyi'];[2];yes;y
800;semantic web services;queries;sparql;['heuristic'];[8.0];no;n
483;semantic web services;uses;sparql;['luanyi'];[1];yes;y
1292;semantic web services;extends;supply chain coordination;['heuristic'];[3.0];no;y
83;semantic web services;supports;supply chain coordination;['openie'];[1];yes;y
330;semantic web services;uses;system architectures;['luanyi'];[1];yes;y
469;semantic web services;uses;text clustering;['luanyi'];[1];yes;y
175;semantic web services;uses;tool support;['luanyi'];[1];yes;y
518;semantic web services;uses;uml profiles;['luanyi'];[1];yes;y
1293;semantic web services;provides;user experience;['heuristic'];[3.0];no;n
838;semantic web services;matches;user query;['heuristic'];[7.0];no;n
507;semantic web services;uses;user query;['luanyi'];[1];yes;y
1294;semantic web services;automates;verification;['heuristic'];[3.0];no;y
369;semantic web services;uses;visual programming;['luanyi'];[1];yes;y
1109;semantic web services;extends;visualization;['heuristic'];[4.0];no;n
54;semantic web services;uses;visualization;['luanyi'];[1];yes;y
186;semantic web services;uses;web 2.0;['luanyi'];[1];yes;y
774;semantic web services;uses;web engineering;['heuristic'];[4];yes;y
413;semantic web services;uses;web of data;['luanyi'];[1];yes;y
234;semantic web services;uses;web ontology language;['luanyi', 'heuristic', 'heuristic'];[4, 3, 7];yes;y
246;semantic web services;uses;web service description;['luanyi'];[2];yes;y
221;semantic web services;automates;web services discovery;['openie'];[1];yes;y
580;semantic web services;provides;web services discovery;['heuristic'];[42];yes;y
437;semantic web services;supports;web services discovery;['openie'];[1];yes;y
417;semantic web services;uses;web services discovery;['luanyi'];[2];yes;y
653;semantic web services;uses;wi-fi;['heuristic'];[3];yes;y
1295;semantic web services;converts;xml data;['heuristic'];[3.0];no;y
1296;semantic web services;uses;zig-bee;['heuristic'];[3.0];no;y
386;semantic web technologies;links;linked data;['heuristic'];[271];yes;y
203;semantic web technologies;publishes;linked data;['heuristic'];[65];yes;y
521;semantic web technologies;supports;linked data;['heuristic'];[23];yes;y
487;semantic web technologies;uses;linked data;['openie'];[1];yes;y
7;semantic web technologies;includes;ontology alignment;['luanyi', 'luanyi', 'heuristic', 'heuristic'];[1, 10, 3, 11];yes;y
208;semantic web technologies;provides;ontology alignment;['heuristic'];[41];yes;y
464;semantic web technologies;uses;ontology alignment;['luanyi'];[1];yes;y
32;semantic web technologies;includes;resource description framework (rdf);['heuristic'];[27];yes;y
85;semantic web technologies;uses;resource description framework (rdf);['heuristic', 'openie', 'heuristic', 'openie', 'luanyi', 'luanyi', 'heuristic'];[141, 3, 317, 1, 66, 15, 4];yes;y
127;semantic web technologies;includes;semantic description;['luanyi'];[1];yes;y
893;semantic web technologies;supports;semantic description;['heuristic'];[6.0];no;y
546;semantic web technologies;uses;semantic description;['heuristic'];[84];yes;y
325;semantic web technologies;includes;semantic descriptions;['luanyi'];[1];yes;y
683;semantic web technologies;provides;semantic descriptions;['heuristic'];[7];yes;y
44;semantic web technologies;uses;semantic search engine;['luanyi'];[2];yes;y
894;semantic web technologies;includes;semantic search engines;['heuristic'];[6.0];no;y
103;semantic web technologies;supports;semantic search engines;['heuristic'];[54];yes;y
470;semantic web technologies;produces;semantic web services;['openie'];[1];yes;y
449;semantic web technologies;provides;semantic web services;['heuristic'];[372];yes;y
184;semantic web technologies;supports;semantic web services;['heuristic'];[22];yes;y
509;semantic web technologies;uses;semantic web services;['luanyi'];[4];yes;y
445;semantic web technologies;combines;web ontology language;['openie'];[1];yes;y
979;semantic web technologies;supports;web ontology language;['heuristic'];[5.0];no;y
49;semantic web technologies;uses;web ontology language;['heuristic', 'heuristic', 'heuristic', 'luanyi', 'openie', 'luanyi'];[176, 88, 27, 38, 2, 14];yes;y
1297;sensor data;base;linked data;['heuristic'];[3.0];no;n
47;sensor networks;uses;ontology alignment;['luanyi'];[1];yes;n
895;sensors;publishes;linked data;['heuristic'];[6.0];no;n
654;service architecture;uses;resource description framework (rdf);['heuristic'];[1];yes;y
313;service compositions;uses;semantic description;['luanyi'];[1];yes;y
496;service execution;is;semantic web services;['luanyi'];[1];yes;y
980;service execution;supports;semantic web services;['heuristic'];[5.0];no;n
981;service matching;produces;semantic description;['heuristic'];[5.0];no;n
134;service matching;uses;semantic web services;['luanyi', 'heuristic'];[2, 10];yes;y
982;service ontology;base;web ontology language;['heuristic'];[5.0];no;y
660;service ontology;uses;web ontology language;['heuristic'];[1];yes;n
616;services selection;is;semantic web services;['luanyi'];[1];yes;y
896;services selection;selects;semantic web services;['heuristic'];[6.0];no;y
181;services selection;uses;semantic web services;['luanyi'];[1];yes;y
1298;smart grids;links;linked data;['heuristic'];[3.0];no;n
342;smart phones;uses;semantic search engines;['luanyi'];[1];yes;y
751;social networks;uses;linked data;['heuristic'];[6];yes;y
1299;social networks;produces;resource description framework (rdf);['heuristic'];[3.0];no;n
1300;social networks;publishes;resource description framework (rdf);['heuristic'];[3.0];no;n
473;social networks;uses;web ontology language;['luanyi'];[2];yes;n
187;social relationships;uses;semantic search engines;['luanyi'];[1];yes;n
276;software agents;uses;semantic description;['luanyi'];[1];yes;y
759;software agents;uses;semantic web services;['heuristic'];[13];yes;y
672;software design;uses;web ontology language;['heuristic'];[3];yes;y
690;software design patterns;uses;web ontology language;['heuristic'];[1];yes;y
983;software development life cycle;base;semantic web services;['heuristic'];[5.0];no;n
596;software development life cycle;uses;semantic web services;['luanyi'];[1];yes;y
341;software engineering;uses;linked data;['luanyi'];[1];yes;y
984;software engineering;produces;web ontology language;['heuristic'];[5.0];no;y
505;software maintenance;uses;ontology alignment;['luanyi'];[1];yes;y
1301;software product lines;acquires;semantic description;['heuristic'];[3.0];no;n
897;source codes;proposes;linked data;['heuristic'];[6.0];no;n
1110;spam filtering;publishes;linked data;['heuristic'];[4.0];no;n
392;sparql;links;linked data;['heuristic'];[59];yes;y
1111;sparql;proposes;ontology alignment;['heuristic'];[4.0];no;n
476;sparql;acquires;resource description framework (rdf);['heuristic'];[113];yes;y
111;sparql;is;resource description framework (rdf);['luanyi'];[4];yes;n
455;sparql;queries;resource description framework (rdf);['heuristic'];[30];yes;y
396;sparql;represents;resource description framework (rdf);['openie'];[1];yes;n
1302;sparql;uses;semantic search engines;['heuristic'];[3.0];no;y
1303;sparql;executes;web ontology language;['heuristic'];[3.0];no;n
408;sparql;supports;web ontology language;['heuristic'];[23];yes;y
985;spatial data;converts;linked data;['heuristic'];[5.0];no;n
292;spatial data;uses;linked data;['luanyi'];[2];yes;y
452;speech recognition;uses;semantic search engines;['luanyi'];[4];yes;y
225;star schema;uses;web ontology language;['luanyi'];[1];yes;y
1304;stream data;improves;semantic description;['heuristic'];[3.0];no;n
898;structured query language (sql);produces;resource description framework (rdf);['heuristic'];[6.0];no;n
773;supervised machine learning;uses;resource description framework (rdf);['heuristic'];[1];yes;y
303;supervised machine learning;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes;y
399;supply chain coordination;uses;semantic web services;['luanyi'];[2];yes;y
254;telecommunications industry;uses;semantic web services;['luanyi'];[2];yes;n
271;text clustering;uses;semantic search engine;['luanyi'];[1];yes;y
839;text mining;selects;semantic description;['heuristic'];[7.0];no;n
899;text mining;supports;semantic search engines;['heuristic'];[6.0];no;y
448;text mining;uses;semantic web services;['luanyi'];[1];yes;y
840;topology;links;linked data;['heuristic'];[7.0];no;n
196;twitter;is;linked data;['luanyi'];[1];yes;n
986;twitter;uses;linked data;['heuristic'];[5.0];no;y
987;type systems;provides;linked data;['heuristic'];[5.0];no;n
679;ubiquitous computing;uses;web ontology language;['heuristic'];[1];yes;n
642;ubiquitous computing environment;uses;web ontology language;['heuristic'];[5];yes;n
988;undirected graph;represents;resource description framework (rdf);['heuristic', 'heuristic'];[5.0, 1.0];no;y
1112;universities;acquires;resource description framework (rdf);['heuristic'];[4.0];no;n
583;user experience;uses;semantic search engine;['luanyi'];[1];yes;n
10;user navigation;uses;semantic search engines;['luanyi'];[1];yes;n
70;user query;uses;ontology alignment;['luanyi'];[1];yes;n
380;user query;uses;semantic search engine;['luanyi'];[1];yes;y
383;user query;uses;semantic search engines;['luanyi'];[1];yes;y
671;user query;uses;web ontology language;['heuristic'];[6];yes;n
652;vector space model (vsm);uses;web ontology language;['heuristic'];[3];yes;n
1305;verification;represents;semantic description;['heuristic'];[3.0];no;n
1306;verification;supports;semantic web services;['heuristic'];[3.0];no;n
739;verification;uses;web ontology language;['heuristic'];[2];yes;y
989;video search;proposes;semantic search engines;['heuristic'];[5.0];no;n
841;visual features;supports;semantic search engines;['heuristic'];[7.0];no;n
801;visualization;supports;ontology alignment;['heuristic'];[8.0];no;n
990;visualization;includes;resource description framework (rdf);['heuristic'];[5.0];no;n
382;vocabulary;proposes;linked data;['heuristic'];[37];yes;n
842;vocabulary;produces;resource description framework (rdf);['heuristic'];[7.0];no;n
900;vocabulary;proposes;semantic web services;['heuristic'];[6.0];no;n
901;web 2.0;selects;linked data;['heuristic'];[6.0];no;n
29;web applications;uses;linked data;['luanyi'];[4];yes;y
291;web applications;uses;ontology alignment;['luanyi'];[1];yes;y
339;web applications;uses;resource description framework (rdf);['luanyi', 'heuristic'];[2, 4];yes;y
1307;web applications;defines;semantic description;['heuristic'];[3.0];no;n
991;web applications;base;semantic search engines;['heuristic'];[5.0];no;n
902;web applications;produces;semantic web services;['heuristic'];[6.0];no;y
550;web applications;uses;semantic web services;['luanyi'];[4];yes;y
1113;web applications;executes;web ontology language;['heuristic'];[4.0];no;n
222;web applications;uses;web ontology language;['luanyi'];[1];yes;y
333;web browsing;uses;linked data;['luanyi'];[1];yes;y
1114;web contents;selects;linked data;['heuristic'];[4.0];no;n
314;web contents;uses;linked data;['luanyi', 'heuristic'];[2, 2];yes;n
201;web contents;uses;resource description framework (rdf);['openie', 'luanyi', 'heuristic'];[1, 1, 8];yes;n
287;web contents;uses;semantic description;['luanyi'];[1];yes;n
441;web contents;uses;semantic search engine;['luanyi', 'heuristic'];[1, 1];yes;n
344;web contents;uses;semantic search engines;['luanyi'];[1];yes;n
188;web contents;uses;semantic web services;['luanyi'];[1];yes;n
307;web contents;uses;web ontology language;['luanyi'];[2];yes;n
1308;web development;includes;resource description framework (rdf);['heuristic', 'heuristic'];[3.0, 1.0];no;y
1309;web development;requires;semantic web services;['heuristic'];[3.0];no;y
351;web engineering;uses;resource description framework (rdf);['luanyi', 'heuristic'];[2, 1];yes;y
1115;web engineering;produces;semantic description;['heuristic'];[4.0];no;y
564;web engineering;uses;semantic web services;['luanyi'];[1];yes;y
651;web information;uses;semantic web services;['heuristic'];[2];yes;y
209;web of data;links;linked data;['heuristic'];[43];yes;n
524;web of data;uses;linked data;['luanyi'];[9];yes;y
802;web of data;acquires;resource description framework (rdf);['heuristic'];[8.0];no;n
1310;web of data;includes;resource description framework (rdf);['heuristic'];[3.0];no;n
416;web of data;uses;resource description framework (rdf);['luanyi'];[2];yes;y
531;web of data;uses;semantic search engine;['luanyi'];[1];yes;y
1116;web ontology language;limits;access control;['heuristic'];[4.0];no;n
139;web ontology language;provides;access control;['openie', 'heuristic'];[1, 9];yes;y
1311;web ontology language;defines;automated reasoning;['heuristic'];[3.0];no;n
843;web ontology language;provides;automated reasoning;['heuristic'];[7.0];no;y
1312;web ontology language;produces;automatic composition;['heuristic'];[3.0];no;n
695;web ontology language;supports;automation;['heuristic'];[3];yes;n
1117;web ontology language;base;bayesian approaches;['heuristic'];[4.0];no;n
992;web ontology language;represents;bayesian approaches;['heuristic'];[5.0];no;n
1313;web ontology language;produces;cellular;['heuristic'];[3.0];no;n
754;web ontology language;uses;classifiers;['heuristic'];[1];yes;n
1314;web ontology language;proposes;cloud services;['heuristic'];[3.0];no;n
1118;web ontology language;uses;collaborative designs;['heuristic', 'heuristic'];[4.0, 3.0];no;n
903;web ontology language;uses;communication;['heuristic'];[6.0];no;n
1315;web ontology language;uses;component repository;['heuristic'];[3.0];no;n
1316;web ontology language;uses;component-based software engineering;['heuristic'];[3.0];no;n
993;web ontology language;executes;computation independent model (cim);['heuristic'];[5.0];no;n
844;web ontology language;produces;computation independent model (cim);['heuristic'];[7.0];no;n
1317;web ontology language;supports;computer aided design (cad);['heuristic'];[3.0];no;y
491;web ontology language;is;computer science;['luanyi'];[1];yes;y
762;web ontology language;uses;computer science;['heuristic'];[1];yes;n
1119;web ontology language;provides;context modeling;['heuristic'];[4.0];no;y
622;web ontology language;supports;data exchange;['heuristic'];[3];yes;y
492;web ontology language;provides;data integration;['openie', 'heuristic'];[1, 4];yes;n
904;web ontology language;uses;data integration;['heuristic'];[6.0];no;n
1318;web ontology language;extends;data integration system;['heuristic'];[3.0];no;n
270;web ontology language;base;description logics;['heuristic', 'heuristic'];[35, 48];yes;n
68;web ontology language;is;description logics;['luanyi'];[4];yes;y
288;web ontology language;uses;description logics;['luanyi', 'luanyi'];[10, 8];yes;y
251;web ontology language;defines;domain knowledge;['heuristic'];[22];yes;y
803;web ontology language;represents;domain knowledge;['heuristic'];[8.0];no;y
172;web ontology language;includes;domain-specific ontologies;['luanyi'];[1];yes;y
37;web ontology language;produces;domain-specific ontologies;['openie'];[1];yes;n
708;web ontology language;uses;engine;['heuristic'];[7];yes;n
