;s;p;o;source;support;Danilo;
99;web ontology language;is;vocabulary;luanyi;2;n;
333;web ontology language;provides;web contents;heuristic;2;n;
279;web ontology language;uses;web of data;luanyi;1;n;
850;web ontology language;conjunction;web ontology language;luanyi;3;y;
903;web ontology language;produces;world wide web;heuristic;15;y;
659;web searches;uses;resource description framework (rdf);luanyi;1;y;
365;web searches;uses;semantic search engines;luanyi;3;y;
168;web service composition;conjunction;ontology alignment;luanyi;1;y;
232;web service composition;conjunction;semantic web services;luanyi;2;y;
720;web service description;uses;semantic web services;luanyi;6;n;
457;web services discovery;conjunction;ontology alignment;luanyi;1;y;
908;web services discovery;uses;semantic description;luanyi;1;y;
7;web services discovery;uses;semantic web services;luanyi;1;y;
949;web-mining;conjunction;ontology alignment;luanyi;1;y;
9;web-mining;conjunction;semantic search engines;luanyi;1;y;
420;web-searching;uses;semantic search engines;luanyi;1;y;
698;wiki;is;linked data;luanyi;1;y;
804;wiki;provides;semantic search engines;openie;1;n;
80;word sense disambiguation;conjunction;ontology alignment;luanyi;1;y;
939;word sense disambiguation;conjunction;semantic search engines;luanyi;2;y;
558;wordnet;is;web ontology language;luanyi;2;y;
1003;world wide web;publishes;resource description framework (rdf);heuristic;9;y;
500;world wide web;is;semantic search engine;luanyi;1;y;
361;xacml;is;web ontology language;luanyi;1;y;
779;xml data;converts;resource description framework (rdf);heuristic;12;y;
424;xml schemas;conjunction;resource description framework (rdf);luanyi;7;y;
127;xml schemas;conjunction;web ontology language;luanyi;2;y;
215;xpath;conjunction;resource description framework (rdf);luanyi;1;y;
266;zig-bee;conjunction;web ontology language;luanyi;1;y;
