;s;p;o;source;support;pipeline;Danilo;FRA
778;web applications;based-on;resource description framework (rdf);['heuristic'];[6.0];no;;
779;web applications;based-on;semantic search engines;['heuristic'];[3.0];no;;
780;web applications;produces;semantic web services;['heuristic'];[4.0];no;y;n
781;web contents;selects;semantic descriptions;['heuristic'];[3.0];no;;
782;web contents;supports;semantic search engines;['heuristic'];[9.0];no;;
783;web contents;acquires;web ontology language;['heuristic'];[3.0];no;;
784;web development;requires;semantic web services;['heuristic'];[3.0];no;y;n
785;web of data;requires;resource description framework (rdf);['heuristic'];[11.0];no;;
786;web ontology language;guides;access control;['heuristic'];[4.0];no;;
787;web ontology language;provides;automated reasoning;['heuristic'];[7.0];no;y;y
788;web ontology language;executes;cim;['heuristic'];[8.0];no;;
789;web ontology language;proposes;cloud services;['heuristic'];[3.0];no;n;n
790;web ontology language;uses;collaborative designs;['heuristic'];[5.0];no;n;y
791;web ontology language;produces;communication;['heuristic'];[4.0];no;;
792;web ontology language;uses;component repository;['heuristic'];[6.0];no;n;y
793;web ontology language;extends;context information;['heuristic'];[4.0];no;;
794;web ontology language;supports;context reasoning;['heuristic'];[6.0];no;;
795;web ontology language;represents;domain knowledge;['heuristic'];[11.0];no;y;y
796;web ontology language;produces;grid services;['heuristic'];[4.0];no;;
797;web ontology language;provides;information retrieval;['heuristic'];[3.0];no;;
798;web ontology language;maintains;information systems;['heuristic'];[4.0];no;n;n
799;web ontology language;extends;internet;['heuristic'];[3.0];no;;
800;web ontology language;produces;knowledge bases;['heuristic'];[11.0];no;n;y
801;web ontology language;supports;knowledge management;['heuristic'];[6.0];no;;
802;web ontology language;uses;modeling languages;['heuristic'];[3.0];no;y;y
803;web ontology language;provides;natural language processing systems;['heuristic'];[3.0];no;n;n
804;web ontology language;provides;ontology alignment;['heuristic'];[5.0];no;n;y
805;web ontology language;proposes;ontology construction;['heuristic'];[5.0];no;n;n
806;web ontology language;proposes;recommendation;['heuristic'];[4.0];no;;
807;web ontology language;matches;relational data models;['heuristic'];[4.0];no;n;n
808;web ontology language;uses;resource discovery;['heuristic'];[3.0];no;n;n
809;web ontology language;provides;semantic interoperability;['heuristic'];[3.0];no;y;y
810;web ontology language;recommends;semantic relationships;['heuristic'];[7.0];no;;
811;web ontology language;produces;semantic web services;['heuristic'];[10.0];no;;
812;web ontology language;selects;uml models;['heuristic'];[3.0];no;n;n
813;web ontology language;includes;uml profiles;['heuristic'];[7.0];no;n;n
814;web ontology language;proposes;vocabulary;['heuristic'];[8.0];no;n;y
815;web ontology language;provides;web contents;['heuristic'];[6.0];no;;
816;web ontology language;supports;xml documents;['heuristic'];[4.0];no;;
817;web services discovery;proposes;semantic web services;['heuristic'];[9.0];no;;
818;wiki;provides;linked data;['heuristic'];[3.0];no;;
819;world wide web;converts-to;resource description framework (rdf);['heuristic'];[6.0];no;;
820;xml;includes;semantic web services;['heuristic'];[7.0];no;;
821;xml documents;converts-to;resource description framework (rdf);['heuristic'];[10.0];no;;
