,s,p,o,source,support,abstracts
94,search engines,selects,category,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
95,portal,selects,category,heuristic,2,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
96,extra weight,provides,html,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
97,retrieval of article,uses,keyword,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
98,query processing word,provides,information retrieval,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
99,keyword,queries,search engines,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
100,middleware,proposes,semantic service discovery and matching approach,heuristic,1,"['with the development of machine-to-machine ( m2m ) technology , a variety of embedded and mobile devices is integrated to interact via the platform of the internet of things , especially in the domain of smart cities . one of the primary challenges is that selecting the appropriate services or service combination for upper layer applications is hard , which is due to the absence of a unified semantical service description pattern , as well as the service selection mechanism . in this paper , we define a semantic service representation model from four key properties : capability ( c ) , deployment ( d ) , resource ( r ) and iodata ( io ) . based on this model , an agent-based middleware is built to support semantic service enablement . in this middleware , we present an efficient semantic service discovery and matching approach for a service combination process , which calculates the semantic similarity between services , and a heuristic algorithm to search the service candidates for a specific service request . based on this design , we propose a simulation of virtual urban fire fighting , and the experimental results manifest the feasibility and efficiency of our design .']"
101,middleware,matches,service combination proces,heuristic,2,"['with the development of machine-to-machine ( m2m ) technology , a variety of embedded and mobile devices is integrated to interact via the platform of the internet of things , especially in the domain of smart cities . one of the primary challenges is that selecting the appropriate services or service combination for upper layer applications is hard , which is due to the absence of a unified semantical service description pattern , as well as the service selection mechanism . in this paper , we define a semantic service representation model from four key properties : capability ( c ) , deployment ( d ) , resource ( r ) and iodata ( io ) . based on this model , an agent-based middleware is built to support semantic service enablement . in this middleware , we present an efficient semantic service discovery and matching approach for a service combination process , which calculates the semantic similarity between services , and a heuristic algorithm to search the service candidates for a specific service request . based on this design , we propose a simulation of virtual urban fire fighting , and the experimental results manifest the feasibility and efficiency of our design .']"
102,semantic service discovery and matching approach,analyzes,semantic similarity measures,heuristic,1,"['with the development of machine-to-machine ( m2m ) technology , a variety of embedded and mobile devices is integrated to interact via the platform of the internet of things , especially in the domain of smart cities . one of the primary challenges is that selecting the appropriate services or service combination for upper layer applications is hard , which is due to the absence of a unified semantical service description pattern , as well as the service selection mechanism . in this paper , we define a semantic service representation model from four key properties : capability ( c ) , deployment ( d ) , resource ( r ) and iodata ( io ) . based on this model , an agent-based middleware is built to support semantic service enablement . in this middleware , we present an efficient semantic service discovery and matching approach for a service combination process , which calculates the semantic similarity between services , and a heuristic algorithm to search the service candidates for a specific service request . based on this design , we propose a simulation of virtual urban fire fighting , and the experimental results manifest the feasibility and efficiency of our design .']"
103,semantic service discovery and matching approach,analyzes,heuristic algorithm,heuristic,1,"['with the development of machine-to-machine ( m2m ) technology , a variety of embedded and mobile devices is integrated to interact via the platform of the internet of things , especially in the domain of smart cities . one of the primary challenges is that selecting the appropriate services or service combination for upper layer applications is hard , which is due to the absence of a unified semantical service description pattern , as well as the service selection mechanism . in this paper , we define a semantic service representation model from four key properties : capability ( c ) , deployment ( d ) , resource ( r ) and iodata ( io ) . based on this model , an agent-based middleware is built to support semantic service enablement . in this middleware , we present an efficient semantic service discovery and matching approach for a service combination process , which calculates the semantic similarity between services , and a heuristic algorithm to search the service candidates for a specific service request . based on this design , we propose a simulation of virtual urban fire fighting , and the experimental results manifest the feasibility and efficiency of our design .']"
104,service combination proces,analyzes,semantic similarity measures,heuristic,1,"['with the development of machine-to-machine ( m2m ) technology , a variety of embedded and mobile devices is integrated to interact via the platform of the internet of things , especially in the domain of smart cities . one of the primary challenges is that selecting the appropriate services or service combination for upper layer applications is hard , which is due to the absence of a unified semantical service description pattern , as well as the service selection mechanism . in this paper , we define a semantic service representation model from four key properties : capability ( c ) , deployment ( d ) , resource ( r ) and iodata ( io ) . based on this model , an agent-based middleware is built to support semantic service enablement . in this middleware , we present an efficient semantic service discovery and matching approach for a service combination process , which calculates the semantic similarity between services , and a heuristic algorithm to search the service candidates for a specific service request . based on this design , we propose a simulation of virtual urban fire fighting , and the experimental results manifest the feasibility and efficiency of our design .']"
105,service combination proces,analyzes,heuristic algorithm,heuristic,1,"['with the development of machine-to-machine ( m2m ) technology , a variety of embedded and mobile devices is integrated to interact via the platform of the internet of things , especially in the domain of smart cities . one of the primary challenges is that selecting the appropriate services or service combination for upper layer applications is hard , which is due to the absence of a unified semantical service description pattern , as well as the service selection mechanism . in this paper , we define a semantic service representation model from four key properties : capability ( c ) , deployment ( d ) , resource ( r ) and iodata ( io ) . based on this model , an agent-based middleware is built to support semantic service enablement . in this middleware , we present an efficient semantic service discovery and matching approach for a service combination process , which calculates the semantic similarity between services , and a heuristic algorithm to search the service candidates for a specific service request . based on this design , we propose a simulation of virtual urban fire fighting , and the experimental results manifest the feasibility and efficiency of our design .']"
106,design,proposes,virtual urban fire fighting,heuristic,1,"['with the development of machine-to-machine ( m2m ) technology , a variety of embedded and mobile devices is integrated to interact via the platform of the internet of things , especially in the domain of smart cities . one of the primary challenges is that selecting the appropriate services or service combination for upper layer applications is hard , which is due to the absence of a unified semantical service description pattern , as well as the service selection mechanism . in this paper , we define a semantic service representation model from four key properties : capability ( c ) , deployment ( d ) , resource ( r ) and iodata ( io ) . based on this model , an agent-based middleware is built to support semantic service enablement . in this middleware , we present an efficient semantic service discovery and matching approach for a service combination process , which calculates the semantic similarity between services , and a heuristic algorithm to search the service candidates for a specific service request . based on this design , we propose a simulation of virtual urban fire fighting , and the experimental results manifest the feasibility and efficiency of our design .']"
107,architecture,represents,execution scenario,heuristic,1,"['the information generated from the internet of things ( iot ) poten- tially enables a better understanding of the physical world for humans and supports creation of ambient intelligence for a wide range of applications in dif- ferent domains . a semantics-enabled service layer is a promising approach to facilitate seamless access and management of the information from the large , distributed and heterogeneous sources . this paper presents the efforts of the iot.est project towards developing a framework for service creation and testing in an iot environment . the architecture design extends the existing iot refer- ence architecture and enables a test-driven , semantics-based management of the entire service lifecycle . the validation of the architecture is shown though a dynamic test case generation and execution scenario . a dynamic service creation environment ( sce ) that gathers and exploits data and information from the heterogeneous sources can help to overcome the technological boundaries and dynamically design and integrate new services and business opportun- ities for the internet of things ( iot ) . rapid service creation and deployment in iot environments requires a large number of resources and automated interpretation of environmental and context information . moreover , the mobility of resources and the dynamicity of the environment necessitate integration of test-friendly description capabilities in the development and maintenance of services from the beginning . inte- grating service oriented computing mechanisms and semantic technologies to create a semantic service layer on the top of iot is a promising approach for facilitating seam- less access and management of the information from the large , distributed and hetero- geneous sources . the application of semantics to enable automated testing of the iot services can reduce the time to deployment , while context-aware service adaptation can support deployed services to respond to environmental changes . in this paper , we present an architecture for service creation and testing in an iot environment , which']"
108,architecture,represents,dynamic test case generation,heuristic,1,"['the information generated from the internet of things ( iot ) poten- tially enables a better understanding of the physical world for humans and supports creation of ambient intelligence for a wide range of applications in dif- ferent domains . a semantics-enabled service layer is a promising approach to facilitate seamless access and management of the information from the large , distributed and heterogeneous sources . this paper presents the efforts of the iot.est project towards developing a framework for service creation and testing in an iot environment . the architecture design extends the existing iot refer- ence architecture and enables a test-driven , semantics-based management of the entire service lifecycle . the validation of the architecture is shown though a dynamic test case generation and execution scenario . a dynamic service creation environment ( sce ) that gathers and exploits data and information from the heterogeneous sources can help to overcome the technological boundaries and dynamically design and integrate new services and business opportun- ities for the internet of things ( iot ) . rapid service creation and deployment in iot environments requires a large number of resources and automated interpretation of environmental and context information . moreover , the mobility of resources and the dynamicity of the environment necessitate integration of test-friendly description capabilities in the development and maintenance of services from the beginning . inte- grating service oriented computing mechanisms and semantic technologies to create a semantic service layer on the top of iot is a promising approach for facilitating seam- less access and management of the information from the large , distributed and hetero- geneous sources . the application of semantics to enable automated testing of the iot services can reduce the time to deployment , while context-aware service adaptation can support deployed services to respond to environmental changes . in this paper , we present an architecture for service creation and testing in an iot environment , which']"
109,validation,represents,execution scenario,heuristic,1,"['the information generated from the internet of things ( iot ) poten- tially enables a better understanding of the physical world for humans and supports creation of ambient intelligence for a wide range of applications in dif- ferent domains . a semantics-enabled service layer is a promising approach to facilitate seamless access and management of the information from the large , distributed and heterogeneous sources . this paper presents the efforts of the iot.est project towards developing a framework for service creation and testing in an iot environment . the architecture design extends the existing iot refer- ence architecture and enables a test-driven , semantics-based management of the entire service lifecycle . the validation of the architecture is shown though a dynamic test case generation and execution scenario . a dynamic service creation environment ( sce ) that gathers and exploits data and information from the heterogeneous sources can help to overcome the technological boundaries and dynamically design and integrate new services and business opportun- ities for the internet of things ( iot ) . rapid service creation and deployment in iot environments requires a large number of resources and automated interpretation of environmental and context information . moreover , the mobility of resources and the dynamicity of the environment necessitate integration of test-friendly description capabilities in the development and maintenance of services from the beginning . inte- grating service oriented computing mechanisms and semantic technologies to create a semantic service layer on the top of iot is a promising approach for facilitating seam- less access and management of the information from the large , distributed and hetero- geneous sources . the application of semantics to enable automated testing of the iot services can reduce the time to deployment , while context-aware service adaptation can support deployed services to respond to environmental changes . in this paper , we present an architecture for service creation and testing in an iot environment , which']"
110,validation,represents,dynamic test case generation,heuristic,1,"['the information generated from the internet of things ( iot ) poten- tially enables a better understanding of the physical world for humans and supports creation of ambient intelligence for a wide range of applications in dif- ferent domains . a semantics-enabled service layer is a promising approach to facilitate seamless access and management of the information from the large , distributed and heterogeneous sources . this paper presents the efforts of the iot.est project towards developing a framework for service creation and testing in an iot environment . the architecture design extends the existing iot refer- ence architecture and enables a test-driven , semantics-based management of the entire service lifecycle . the validation of the architecture is shown though a dynamic test case generation and execution scenario . a dynamic service creation environment ( sce ) that gathers and exploits data and information from the heterogeneous sources can help to overcome the technological boundaries and dynamically design and integrate new services and business opportun- ities for the internet of things ( iot ) . rapid service creation and deployment in iot environments requires a large number of resources and automated interpretation of environmental and context information . moreover , the mobility of resources and the dynamicity of the environment necessitate integration of test-friendly description capabilities in the development and maintenance of services from the beginning . inte- grating service oriented computing mechanisms and semantic technologies to create a semantic service layer on the top of iot is a promising approach for facilitating seam- less access and management of the information from the large , distributed and hetero- geneous sources . the application of semantics to enable automated testing of the iot services can reduce the time to deployment , while context-aware service adaptation can support deployed services to respond to environmental changes . in this paper , we present an architecture for service creation and testing in an iot environment , which']"
111,technological boundary,uses,internet of things ( iot ),heuristic,1,"['the information generated from the internet of things ( iot ) poten- tially enables a better understanding of the physical world for humans and supports creation of ambient intelligence for a wide range of applications in dif- ferent domains . a semantics-enabled service layer is a promising approach to facilitate seamless access and management of the information from the large , distributed and heterogeneous sources . this paper presents the efforts of the iot.est project towards developing a framework for service creation and testing in an iot environment . the architecture design extends the existing iot refer- ence architecture and enables a test-driven , semantics-based management of the entire service lifecycle . the validation of the architecture is shown though a dynamic test case generation and execution scenario . a dynamic service creation environment ( sce ) that gathers and exploits data and information from the heterogeneous sources can help to overcome the technological boundaries and dynamically design and integrate new services and business opportun- ities for the internet of things ( iot ) . rapid service creation and deployment in iot environments requires a large number of resources and automated interpretation of environmental and context information . moreover , the mobility of resources and the dynamicity of the environment necessitate integration of test-friendly description capabilities in the development and maintenance of services from the beginning . inte- grating service oriented computing mechanisms and semantic technologies to create a semantic service layer on the top of iot is a promising approach for facilitating seam- less access and management of the information from the large , distributed and hetero- geneous sources . the application of semantics to enable automated testing of the iot services can reduce the time to deployment , while context-aware service adaptation can support deployed services to respond to environmental changes . in this paper , we present an architecture for service creation and testing in an iot environment , which']"
112,iot environment,requires,automated interpretation of environmental and context information,heuristic,1,"['the information generated from the internet of things ( iot ) poten- tially enables a better understanding of the physical world for humans and supports creation of ambient intelligence for a wide range of applications in dif- ferent domains . a semantics-enabled service layer is a promising approach to facilitate seamless access and management of the information from the large , distributed and heterogeneous sources . this paper presents the efforts of the iot.est project towards developing a framework for service creation and testing in an iot environment . the architecture design extends the existing iot refer- ence architecture and enables a test-driven , semantics-based management of the entire service lifecycle . the validation of the architecture is shown though a dynamic test case generation and execution scenario . a dynamic service creation environment ( sce ) that gathers and exploits data and information from the heterogeneous sources can help to overcome the technological boundaries and dynamically design and integrate new services and business opportun- ities for the internet of things ( iot ) . rapid service creation and deployment in iot environments requires a large number of resources and automated interpretation of environmental and context information . moreover , the mobility of resources and the dynamicity of the environment necessitate integration of test-friendly description capabilities in the development and maintenance of services from the beginning . inte- grating service oriented computing mechanisms and semantic technologies to create a semantic service layer on the top of iot is a promising approach for facilitating seam- less access and management of the information from the large , distributed and hetero- geneous sources . the application of semantics to enable automated testing of the iot services can reduce the time to deployment , while context-aware service adaptation can support deployed services to respond to environmental changes . in this paper , we present an architecture for service creation and testing in an iot environment , which']"
113,inte- grating service oriented computing mechanism,produces,internet of things (iot),heuristic,1,"['the information generated from the internet of things ( iot ) poten- tially enables a better understanding of the physical world for humans and supports creation of ambient intelligence for a wide range of applications in dif- ferent domains . a semantics-enabled service layer is a promising approach to facilitate seamless access and management of the information from the large , distributed and heterogeneous sources . this paper presents the efforts of the iot.est project towards developing a framework for service creation and testing in an iot environment . the architecture design extends the existing iot refer- ence architecture and enables a test-driven , semantics-based management of the entire service lifecycle . the validation of the architecture is shown though a dynamic test case generation and execution scenario . a dynamic service creation environment ( sce ) that gathers and exploits data and information from the heterogeneous sources can help to overcome the technological boundaries and dynamically design and integrate new services and business opportun- ities for the internet of things ( iot ) . rapid service creation and deployment in iot environments requires a large number of resources and automated interpretation of environmental and context information . moreover , the mobility of resources and the dynamicity of the environment necessitate integration of test-friendly description capabilities in the development and maintenance of services from the beginning . inte- grating service oriented computing mechanisms and semantic technologies to create a semantic service layer on the top of iot is a promising approach for facilitating seam- less access and management of the information from the large , distributed and hetero- geneous sources . the application of semantics to enable automated testing of the iot services can reduce the time to deployment , while context-aware service adaptation can support deployed services to respond to environmental changes . in this paper , we present an architecture for service creation and testing in an iot environment , which']"
